offset,title,type,office,office_level,publish_date,effective_date,status
0,中华人民共和国宪法修正案（2018年）,宪法,全国人民代表大会,全国人民代表大会,2018-03-11,2018-03-11,有效
1,中华人民共和国宪法（2018年修正文本）,宪法,全国人民代表大会,全国人民代表大会,2018-03-11,2018-03-11,有效
2,中华人民共和国宪法修正案（2004年）,宪法,全国人民代表大会,全国人民代表大会,2004-03-14,2004-03-14,有效
3,中华人民共和国宪法修正案（1999年）,宪法,全国人民代表大会,全国人民代表大会,1999-03-15,1999-03-15,有效
4,中华人民共和国宪法修正案（1993年）,宪法,全国人民代表大会,全国人民代表大会,1993-03-29,1993-03-29,有效
5,中华人民共和国宪法修正案（1988年）,宪法,全国人民代表大会,全国人民代表大会,1988-04-12,1988-04-12,有效
6,中华人民共和国对外关系法,法律,全国人民代表大会常务委员会,全国人民代表大会,2023-06-28,2023-07-01,有效
7,中华人民共和国宪法（1982年）,宪法,全国人民代表大会,全国人民代表大会,1982-12-04,1982-12-04,有效
8,中华人民共和国全国人民代表大会常务委员会议事规则,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-06-24,2022-06-25,有效
9,中华人民共和国立法法,法律,全国人民代表大会,全国人民代表大会,2023-03-13,2023-03-15,有效
10,中华人民共和国地方各级人民代表大会和地方各级人民政府组织法,法律,全国人民代表大会,全国人民代表大会,2022-03-11,2022-03-12,有效
11,中华人民共和国陆地国界法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-10-23,2022-01-01,有效
12,中华人民共和国国徽法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-10-17,2021-01-01,有效
13,中华人民共和国监察官法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-08-20,2022-01-01,有效
14,中华人民共和国反外国制裁法,法律,全国人民代表大会常务委员会,全国人民代表大会,2021-06-10,2021-06-10,有效
15,中华人民共和国国旗法,法律,全国人民代表大会常务委员会,全国人民代表大会,2020-10-17,2021-01-01,有效
