law_id,type,title,kana,effective_date
105DF0000000337,政令,明治五年太政官布告第三百三十七号（改暦ノ布告）,かいれきのふこく,明治五年十一月九日
106DF0000000065,法律,明治六年太政官布告第六十五号（絞罪器械図式）,こうざいきかいずしき,明治六年二月二十日
108DF0000000054,政令,明治八年太政官布告第五十四号（勲章制定ノ件）,くんしょうせいていのけん,平成十五年五月一日
108DF0000000103,政令,明治八年太政官布告第百三号（裁判事務心得）,さいばんじむこころえ,明治八年六月八日
108DT0000000152,政令,明治八年太政官達第百五十二号（不用物品等払下ノトキ其管庁所属ノ官吏入札禁止ノ件）,ふようぶっぴんとうはらいさげのときそのかんちょうしょぞくのかんりにゅうさつきんしのけん,明治八年八月二十七日
110DT0000000097,政令,明治十年太政官達第九十七号（大勲位菊花大綬章及副章製式ノ件）,だいくんいきっかだいじゅしょうおよびふくしょうせいしきのけん,平成十五年五月一日
114DF0000000063,政令,明治十四年太政官布告第六十三号（褒章条例）,ほうしょうじょうれい,平成十五年五月一日
116DT0000000027,政令,明治十六年太政官達第二十七号（官報の発行）,かんぽうのはっこう,明治十六年六月二十日
117DF1000000032,法律,明治十七年太政官布告第三十二号（爆発物取締罰則）,ばくはつぶつとりしまりばっそく,令和七年六月一日
119IO0000000000,勅令,メートル条約,めーとるじょうやく,明治十九年四月二十日
119IO0000000051,勅令,明治十九年勅令第五十一号（本初子午線経度計算方及標準時ノ件）,ほんしょしごせんけいどけいさんかたおよびひょうじゅんじのけん,明治十九年七月十三日
120IO0000000001,勅令,海底電信線保護万国連合条約ノ説明書,かいていでんしんせんほごばんこくれんごうじょうやくのせつめいしょ,明治二十年十二月二十二日
120IO0000000002,勅令,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言,かいじょうほうのようぎをかくていするためせいれきせんはっぴゃくごじゅうろくねんしがつじゅうろくにちぱりこうかいにおいてけっていせしせんげん,明治二十年三月二十四日
121IO0000000001,勅令,明治二十一年勅令第一号（宝冠章及大勲位菊花章頸飾ニ関スル件）,ほうかんしょうおよびだいくんいきっかしょうけいしょくにかんするけん,平成十五年五月一日
121IO0000000076,勅令,勲章佩用式,くんしょうはいようしき,平成十五年五月一日
122AC0000000034,法律,明治二十二年法律第三十四号（決闘罪ニ関スル件）,けっとうざいにかんするけん,令和七年六月一日
122IO0000000103,勅令,明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）,ていこくけんぽうはっぷきねんしょうせいていのけん,明治二十二年八月三日
122M10000001012,府省令,歳入歳出予算概定順序,さいにゅうさいしゅつよさんおおむねていじゅんじょ,明治二十六年十一月十一日
122M10000001019,府省令,予定経費算出概則,よていけいひさんしゅつがいそく,明治二十二年六月十日
123AC0000000001,法律,保管金規則,ほかんきんきそく,昭和四十二年五月三十一日
125M10000001004,府省令,明治二十五年閣令第四号（各官庁ニ於テ公務上在外公使領事ヲ煩ハストキ外務大臣ヘ照会ノ件）,かくかんちょうにおいてこうむじょうざいがいこうしりょうじをわずらわすときがいむだいじんへしょうかいのけん,明治二十五年五月二十七日
126IO0000000261,勅令,明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,せいふのさいむにたいしさしおさえめいれいをうくるばあいにおけるかいけいじょうのきてい,令和八年三月十八日
127IO0000000023,勅令,明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）,だいこんにじゅうごねんしゅくてんゆきしょうせいていのけん,明治二十七年三月六日
127M10000001001,府省令,褒章条例取扱手続,ほうしょうじょうれいとりあつかいてつづき,昭和三十年一月二十二日
127M10000040002,府省令,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,せいふがだいさんさいむしゃとしてさしおさえへられたるさいむがくのしはらいていしはらいししっこうおよびきょうたくにかんするてつづき,令和元年七月一日
128AC0000000028,法律,通貨及証券模造取締法,つうかおよびしょうけんもぞうとりしまりほう,令和七年六月一日
128IO0000000167,勅令,明治二十八年勅令第百六十七号（標準時ニ関スル件）,ひょうじゅんじにかんするけん,昭和十二年九月二十四日
129AC0000000005,法律,国債証券買入銷却法,こくさいしょうけんかいいれしょうきゃくほう,平成十七年十月二十一日
129AC0000000089,法律,民法,みんぽう,令和十年六月十三日
130AC0000000029,法律,砂防法,さぼうほう,令和七年六月一日
130IO0000000382,勅令,砂防法施行規程,さぼうほうしこうきてい,平成二十二年四月一日
131AC0000000011,法律,民法施行法,みんぽうしこうほう,令和七年十月一日
131AC0000000014,法律,外国法人の登記及び夫婦財産契約の登記に関する法律,がいこくほうじんのとうきおよびふうふざいさんけいやくのとうきにかんするほうりつ,令和五年四月一日
131IO0000000090,勅令,明治三十一年勅令第九十号（閏年ニ関スル件）,うるうどしにかんするけん,明治三十一年五月十一日
132AC0000000015,法律,供託法,きょうたくほう,平成二十八年四月一日
132AC0000000046,法律,船舶法,せんぱくほう,令和七年六月一日
132AC0000000048,法律,商法,しょうほう,令和五年四月一日
132AC0000000049,法律,商法施行法,しょうほうしこうほう,平成三十一年四月一日
132AC0000000050,法律,明治三十二年法律第五十号（外国人ノ署名捺印及無資力証明ニ関スル法律）,がいこくじんのしょめいなついんおよびむしりょくしょうめいにかんするほうりつ,大正十五年四月二十四日
132AC0000000093,法律,行旅病人及行旅死亡人取扱法,こうりょびょうにんおよびこうりょしぼうにんとりあつかいほう,令和六年四月一日
132AC0000000095,法律,水難救護法,すいなんきゅうごほう,令和七年六月一日
132AC0000000101,法律,明治三十二年法律第百一号（国債ヲ外国ニ於テ募集スル場合ニ関スル法律）,こくさいをがいこくにおいてぼしゅうするばあいにかんするほうりつ,明治三十四年四月四日
132AC1000000040,法律,明治三十二年法律第四十号（失火ノ責任ニ関スル法律）,しっかのせきにんにかんするほうりつ,明治三十二年三月八日
132IO0000000001,勅令,日本国及希臘国間修好通商航海条約,にほんこくおよびぎりしゃこくかんしゅうこうつうしょうこうかいじょうやく,明治三十二年十月十二日
